Image,Category,Mean,Std,Edge_Density,Edge_Strength,Texture_Variance,Noise,Prediction
0000 (10).jpg,real,132.10,64.10,0.3076,191.22,4809.54,19.91,MAYBE_AI
0000 (2).jpg,real,75.00,52.36,0.2764,168.15,3703.81,18.10,REAL
0000 (3).jpg,real,119.31,51.62,0.2061,122.17,2094.25,13.44,REAL
0000 (4).jpg,real,109.64,37.93,0.3193,133.48,3035.90,15.45,MAYBE_AI
0000 (5).jpg,real,74.51,14.48,0.1514,49.18,288.63,5.03,REAL
0000 (6).jpg,real,96.19,50.68,0.3066,134.07,1735.15,12.26,REAL
0000 (7).jpg,real,114.31,39.40,0.3643,142.69,3275.78,15.54,MAYBE_AI
0000 (8).jpg,real,74.20,73.00,0.3066,214.94,5430.71,21.69,MAYBE_AI
0000 (9).jpg,real,154.04,77.77,0.2725,154.72,2492.99,15.74,REAL
0000.jpg,real,152.31,53.28,0.2646,116.82,1990.85,13.24,REAL
0001 (10).jpg,real,110.10,52.29,0.3154,181.26,4551.98,19.65,MAYBE_AI
0001 (2).jpg,real,139.04,64.05,0.3242,171.32,3065.65,16.50,MAYBE_AI
0001 (3).jpg,real,89.84,60.02,0.2930,148.00,3285.64,15.33,REAL
0001 (4).jpg,real,163.06,42.42,0.3018,117.67,1319.05,10.80,REAL
0001 (5).jpg,real,99.75,53.66,0.3135,144.03,1391.05,12.14,REAL
0001 (6).jpg,real,127.89,75.43,0.2979,184.75,3279.06,16.89,REAL
0001 (7).jpg,real,100.21,35.73,0.2656,110.45,1792.42,11.83,REAL
0001 (8).jpg,real,132.04,50.97,0.2969,142.49,2476.53,14.38,REAL
0001 (9).jpg,real,130.69,64.58,0.2705,120.53,1678.17,11.60,REAL
0001.jpg,real,138.27,27.11,0.1504,83.74,915.35,9.21,REAL
0002 (10).jpg,real,97.88,53.95,0.3125,183.28,5699.24,21.64,MAYBE_AI
0002 (2).jpg,real,165.37,69.38,0.2959,223.21,7306.06,24.13,REAL
0002 (3).jpg,real,93.81,40.42,0.3750,152.57,3854.18,16.91,MAYBE_AI
0002 (4).jpg,real,110.76,54.18,0.1973,109.77,1108.86,9.76,REAL
0002 (5).jpg,real,130.50,32.99,0.3271,100.49,1614.63,10.87,REAL
0002 (6).jpg,real,150.93,38.83,0.3066,123.10,1585.43,12.05,REAL
0002 (7).jpg,real,94.30,37.38,0.2119,88.33,888.64,8.58,REAL
0002 (8).jpg,real,119.03,61.89,0.2725,176.31,3599.71,17.80,REAL
0002 (9).jpg,real,133.99,47.48,0.2979,153.42,3145.69,16.01,REAL
0002.jpg,real,218.98,69.33,0.0625,99.04,3363.28,16.27,REAL
0003 (10).jpg,real,128.48,64.80,0.3105,205.48,4115.63,18.48,MAYBE_AI
0003 (2).jpg,real,118.76,53.49,0.2363,150.98,2424.12,14.48,REAL
0003 (3).jpg,real,163.14,29.42,0.1758,100.52,2849.52,14.76,REAL
0003 (4).jpg,real,93.00,53.21,0.3271,145.62,2566.20,14.17,MAYBE_AI
0003 (5).jpg,real,127.31,34.99,0.2588,102.74,1569.64,11.48,REAL
0003 (6).jpg,real,129.38,32.45,0.2139,90.18,464.26,7.01,REAL
0003 (7).jpg,real,114.55,54.37,0.3340,147.71,3095.86,14.98,MAYBE_AI
0003 (8).jpg,real,118.31,30.76,0.3105,103.59,1348.93,10.67,REAL
0003 (9).jpg,real,137.32,89.26,0.2500,126.37,2221.78,13.46,REAL
0003.jpg,real,139.89,57.73,0.2871,128.93,1500.12,11.62,REAL
0004 (10).jpg,real,96.18,55.67,0.2559,125.81,1413.46,11.46,REAL
0004 (2).jpg,real,49.85,49.94,0.1641,112.96,1804.36,13.09,REAL
0004 (3).jpg,real,167.17,24.53,0.1484,62.93,396.83,6.26,REAL
0004 (4).jpg,real,101.82,54.18,0.2578,129.03,1423.87,11.91,REAL
0004 (5).jpg,real,134.46,55.18,0.2832,187.71,3433.73,17.71,REAL
0004 (6).jpg,real,122.27,66.02,0.3018,144.49,1564.04,12.30,REAL
0004 (7).jpg,real,87.74,33.97,0.3828,120.83,2192.44,12.86,MAYBE_AI
0004 (8).jpg,real,122.36,66.33,0.3213,216.65,7562.13,23.18,MAYBE_AI
0004 (9).jpg,real,102.01,40.05,0.2266,107.86,1709.45,12.27,REAL
0004.jpg,real,117.74,30.69,0.1797,96.77,1522.10,11.90,REAL
0005 (10).jpg,real,139.97,52.84,0.3486,167.78,4644.75,18.87,MAYBE_AI
0005 (2).jpg,real,115.42,39.98,0.2666,118.33,1400.91,11.68,REAL
0005 (3).jpg,real,133.21,36.68,0.1719,87.25,1299.15,10.10,REAL
0005 (4).jpg,real,128.43,75.52,0.2637,158.62,2100.30,14.33,REAL
0005 (5).jpg,real,148.49,33.70,0.3340,122.59,2232.77,13.62,MAYBE_AI
0005 (6).jpg,real,128.62,52.13,0.2803,143.21,1467.01,11.60,REAL
0005 (7).jpg,real,64.91,30.52,0.3428,106.77,1730.53,11.45,REAL
0005 (8).jpg,real,54.47,59.88,0.2041,136.45,1620.74,12.58,REAL
0005 (9).jpg,real,132.38,73.74,0.1416,133.35,2230.95,14.14,REAL
0005.jpg,real,85.12,47.78,0.1357,116.82,2190.85,12.99,REAL
0006 (10).jpg,real,147.42,55.08,0.2578,163.26,3108.20,16.35,REAL
0006 (2).jpg,real,110.76,55.36,0.3213,205.50,4706.88,20.55,MAYBE_AI
0006 (3).jpg,real,182.00,51.64,0.1758,99.38,861.07,9.12,REAL
0006 (4).jpg,real,78.68,54.79,0.3301,170.92,3428.60,17.32,MAYBE_AI
0006 (5).jpg,real,86.19,18.68,0.1914,61.02,750.81,7.38,REAL
0006 (6).jpg,real,87.35,57.11,0.2754,147.22,1944.84,13.00,REAL
0006 (7).jpg,real,57.71,37.67,0.2822,119.66,3227.61,14.51,REAL
0006 (8).jpg,real,155.71,41.47,0.3018,132.29,2598.98,15.30,MAYBE_AI
0006 (9).jpg,real,128.50,37.24,0.0830,48.74,349.20,5.68,REAL
0006.jpg,real,134.50,75.45,0.2314,141.00,3429.50,16.27,REAL
0007 (10).jpg,real,101.88,42.39,0.3359,153.47,3485.51,16.23,MAYBE_AI
0007 (2).jpg,real,180.13,89.27,0.1777,169.66,3245.68,17.59,REAL
0007 (3).jpg,real,98.02,58.57,0.2793,148.10,2625.68,14.94,REAL
0007 (4).jpg,real,98.43,54.27,0.2344,131.53,1509.92,11.73,REAL
0007 (5).jpg,real,123.87,40.38,0.2646,83.87,885.09,8.43,REAL
0007 (6).jpg,real,106.88,52.92,0.2373,124.61,1257.96,10.68,REAL
0007 (7).jpg,real,98.79,50.37,0.3057,117.11,1582.99,11.77,REAL
0007 (8).jpg,real,118.87,68.34,0.2588,123.21,2308.69,13.49,REAL
0007 (9).jpg,real,162.30,37.91,0.0898,76.12,1575.18,11.55,REAL
